feature,attribution,uncertainty
Normalized_Vergence_Angle,0.5096705010399272,0.0018110088625367439
Gaze_Direction_Y_Ratio,0.5087059829900649,0.0018110088625367439
Gaze_Direction_X_Ratio,0.5084403181073738,0.009852814501285313
World_Gaze_Direction_R_Z,0.5082785332233901,0.003993583472523184
Vergence_Depth,0.5079237787979322,0.003925313118769502
Ratio_World_Gaze_Direction_Y,0.5075518243152556,0.005241352187508085
Gaze_Direction_X_Ratio,0.5072439861896507,0.005170807771966124
Angular_Difference_X,0.5070504586576104,0.004503727814589389
Gaze_Direction_Y_Ratio,0.5065833026582648,0.0015240980860496414
Gaze_Direction_Angle,0.506248927693938,0.005170807771966124
Gaze_Direction_Y_Ratio,0.5057970394900452,0.0031481271499078003
Gaze_Vector_Angle,0.5052841651636378,0.003925313118769502
Gaze_Direction_Angle,0.5045237538732378,0.004503727814589389
Delta_Gaze_Z,0.5038594423636696,0.005352800588583707
World_Gaze_Direction_L_Y,0.5038017265164805,0.005241352187508085
Delta_Gaze_X,0.5037152775210622,0.00719797103396885
Directional_Magnitude_Ratio,0.5034689773248129,0.005170807771966124
Vergence_Angle,0.5028526926149679,0.0018110088625367439
Normalized_Vergence_Angle,0.5018094866404899,0.0022535958753182725
Delta_Gaze_X,0.5012259519584357,0.0022535958753182725
Ratio_World_Gaze_Direction_X,0.5007377155620987,0.0031481271499078003
Gaze_Point_Depth_Difference,0.5003513249129312,0.005170807771966124
Relative_Change_Vergence_Angle,0.5003054270294822,0.004385247930892375
Gaze_Direction_Z_Ratio,0.4999689334406737,0.0024477695652088656
Gaze_Direction_Angle,0.4999487718934206,0.004181173501475773
Delta_Gaze_Z,0.49993069926899686,0.00719797103396885
Delta_Gaze_Y,0.4984315530980084,0.005352800588583707
Directional_Magnitude_Ratio,0.49800066247021496,0.003246120263004547
Acceleration_Gaze_Direction_R_X,0.49718638075524485,0.0025310292106994815
Gaze_Direction_X_Ratio,0.4969463986117146,0.0025582141793772497
World_Gaze_Direction_L_Z,0.49685373009863637,0.004225733544047231
Angular_Difference_Gaze_Directions,0.4967165891395749,0.005170807771966124
Gaze_Direction_X_Ratio,0.49611461290451975,0.001759808070311745
Velocity_Gaze_Direction_R_X,0.49603267139717994,0.0031481271499078003
Delta_Gaze_Y,0.49558311980777653,0.003993583472523184
Normalized_Vergence_Angle,0.49518599472957353,0.005241352187508085
World_Gaze_Direction_R_Z,0.4946005505367222,0.0025582141793772497
Gaze_Point_Depth_Difference,0.49454916975629154,0.0015240980860496414
Ratio_Delta_Gaze_XY,0.49453300722335036,0.005352800588583707
Gaze_Vector_Angle,0.4942292973497228,0.0015240980860496414
Gaze_Direction_Angle,0.49401659760310496,0.005241352187508085
Acceleration_Gaze_Direction_R_X,0.49396176303975037,0.0023459639886547097
Relative_Change_Vergence_Angle,0.4938608282503632,0.0025310292106994815
Gaze_Direction_X_Ratio,0.49344919054999326,0.0022535958753182725
